tic_id,ra,dec,tmag
191998744,103.802923,45.324206,11.475
139879080,326.381404,-51.564785,9.3703
301991463,40.539435,53.555802,13.0057
102542376,89.640838,10.220589,11.8362
321861405,323.15288,67.911948,11.9401
242389810,213.499311,-44.36654,13.086
357244603,107.631373,74.485744,14.2833
353111680,284.124143,-13.941955,12.1392
448744179,182.339327,-32.886681,13.0695
207937389,207.421621,-57.150013,13.0339
57093805,272.450977,-31.891545,10.9308
53728859,13.000916,34.728402,12.3396
301035553,3.035148,-4.612959,13.1789
431033767,334.678618,53.781393,13.1238
176314383,71.554945,-0.804872,12.0676
408506314,3.276119,7.660267,12.8562
349582831,66.934984,33.086274,12.4261
437156845,123.43693,-18.877652,12.7325
257567854,52.818037,-23.819792,11.185
349986198,154.250153,6.866478,12.5389
387330895,310.100457,67.533801,13.2787
355796887,132.225584,-61.904997,12.973
265242905,308.308351,50.926837,12.3142
107617930,111.153147,-25.071762,13.2808
441739871,259.564164,74.302721,12.8123
261746870,26.0978,-80.573876,9.0387
1101855081,228.833287,40.267196,12.251
359426909,183.60042,-72.347311,12.9585
151760597,305.033226,-6.073279,12.3942
465176038,162.663087,-60.847019,12.802
164786087,284.830443,44.658093,14.6979
458300989,159.657502,-56.593205,12.5386
245728942,252.214926,-44.21966,11.4302
21549805,181.518741,41.471434,12.7279
288246496,356.666714,31.155911,11.5639
215018906,294.922389,28.572231,10.9992
38603673,64.415043,-61.39201,9.5473
238171173,357.002336,-68.487698,13.0654
17129975,308.160533,40.778443,12.367
374521355,305.811945,6.004746,13.4732
328100489,14.305249,-12.013518,11.9524
146846569,160.889636,-44.621815,15.173
174206540,113.85425,-40.877509,13.0923
100921768,54.308702,-44.472006,8.1605
317290270,280.461822,26.937022,12.866
291517604,261.241401,-58.633055,10.0143
15692883,17.47474,25.681649,9.7116
389777651,156.22955,84.754719,11.6431
49066806,164.676291,-35.341072,11.213
352682207,20.21482,66.072201,11.5163
258801269,287.025089,66.290697,10.938
49046332,164.359312,-34.690336,12.7171
435861696,11.88786,21.938552,12.0
439598736,297.726141,-5.042412,12.635
127229631,84.979951,14.303023,13.0406
258940847,9.208188,24.267798,9.7664
96736412,104.823819,-31.38747,13.2221
427041513,304.973328,33.00991,10.4008
60859922,211.722845,-29.306832,12.0272
82707763,169.958638,-51.866071,10.1405
283605976,61.899944,11.517544,11.7948
88460991,105.523795,65.286684,12.7094
