target,tic_id,sector,sectors,tmag,ra_deg,dec_deg,camera,ccd,teff_k,stellar_radius_solar,distance_pc,luminosity_class,stellar_selection_tier,small_planet_merit,selection_rank
TIC 280136012,280136012,100,100,12.97,203.8211,-58.2371,3,4,3468.0,0.636103,136.717,DWARF,0,2.201055,2366
TIC 275545870,275545870,100,100,11.06,179.0601,-45.2249,2,2,5462.0,0.987534,198.346,DWARF,0,2.201104,2367
TIC 307257778,307257778,100,100,10.32,179.9415,-61.0204,3,2,4630.0,1.17106,119.042,DWARF,0,2.201158,2368
TIC 134907672,134907672,100,100,11.59,184.06,-41.2152,2,2,5414.0,0.874317,218.041,DWARF,0,2.201338,2369
TIC 361593533,361593533,100,100,10.93,194.5655,-73.547,3,3,5787.0,1.01797,209.761,DWARF,0,2.20147,2370
TIC 446313396,446313396,100,100,13.38,206.4757,-55.8321,3,4,3205.0,0.579141,,DWARF,0,2.201569,2371
TIC 120441503,120441503,100,100,12.61,163.5826,-49.4757,2,1,4403.0,0.691516,174.562,DWARF,0,2.201604,2372
TIC 901072636,901072636,100,100,12.63,173.2553,-34.3894,2,3,4534.0,0.688498,194.04,DWARF,0,2.201805,2373
TIC 54199152,54199152,100,100,11.91,160.8603,-32.6575,2,4,4888.16,0.812732,197.373,DWARF,0,2.201895,2374
TIC 151738485,151738485,100,100,12.7,167.4573,-38.4691,2,4,3251.0,0.677863,124.08,DWARF,0,2.202284,2375
TIC 105710145,105710145,100,100,10.8,156.5083,-41.0983,2,4,3788.0,1.04992,84.6769,DWARF,0,2.202312,2376
TIC 162093661,162093661,100,100,13.49,168.3067,-45.0887,2,1,3800.0,0.565325,163.382,DWARF,0,2.202596,2377
TIC 331834097,331834097,100,100,12.04,212.4838,-64.0531,3,4,5093.0,0.789989,205.415,DWARF,0,2.203242,2378
TIC 258323527,258323527,100,100,10.57,182.3923,-45.1345,2,2,6405.1,1.10833,250.79,DWARF,0,2.203338,2379
TIC 15524435,15524435,100,100,12.87,185.5606,-49.314,2,2,3594.0,0.652872,148.896,DWARF,0,2.203656,2380
TIC 457054905,457054905,100,100,12.77,203.0455,-54.9587,3,1,3372.0,0.668522,128.268,DWARF,0,2.204231,2381
TIC 161461436,161461436,100,100,10.97,190.194,-52.1847,3,1,4673.0,1.01238,142.404,DWARF,0,2.204687,2382
TIC 181086985,181086985,100,100,13.75,173.6854,-39.3663,2,3,3715.0,0.533775,168.027,DWARF,0,2.204716,2383
TIC 446747482,446747482,100,100,11.78,218.166,-66.883,3,4,5281.0,0.840983,215.56,DWARF,0,2.205574,2384
