target,tic_id,planet,expected_period_days,expected_depth_ppm,tmag,source_rowupdate,purpose,sector,sectors,author,cadence_seconds,observed_baseline_days,expected_transits
TIC 22233480,22233480,TOI-4438 b,7.446295,3633.94,11.27,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,40,40;52;53,SPOC,120,81,10.88
TIC 23434737,23434737,TOI-1203 b,4.1572888,139.702,8,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,100,100,SPOC,120,23.38,5.62
TIC 25155310,25155310,TOI-114.01,3.2887898,7005.72,10.61,catalog_toi_pl_trandep,survey-wide known-planet recovery rate,94,94,SPOC,120,21.86,6.65
TIC 25375553,25375553,TOI-143.01,2.3109689,6829.42,9.775,catalog_toi_pl_trandep,survey-wide known-planet recovery rate,95,95,SPOC,120,22.09,9.56
TIC 28230919,28230919,TOI-1144.01,4.8878037,4279,8.508,catalog_toi_pl_trandep,survey-wide known-planet recovery rate,54,54;55;56,SPOC,120,81,16.57
TIC 28900646,28900646,TOI-1685 b,0.66913923,795.144,11.11,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,19,19;59;86,SPOC,120,81,121.05
TIC 29344935,29344935,HATS-14 b,2.7667641,13096.1,13.24,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,95,95,SPOC,120,22.04,7.96
TIC 29960110,29960110,TOI-1201 b,2.4919863,1899.54,10.95,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,4,4;31,SPOC,120,54,21.67
TIC 31374837,31374837,TOI-431 d,12.46103,1702.55,8.171,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,98,98,SPOC,120,50.47,4.05
TIC 31858843,31858843,TOI-1069.01,2.9776446,13022,10.43,catalog_toi_pl_trandep,survey-wide known-planet recovery rate,94,94,SPOC,120,22.11,7.43
TIC 32499655,32499655,HATS-44 b,2.7439004,16758.6,13.55,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,98,98,SPOC,120,48.05,17.51
TIC 32949762,32949762,WASP-160 B b,3.7684952,16630,12.34,catalog_pl_trandep,survey-wide known-planet recovery rate,98,98,SPOC,120,48.05,12.75
TIC 33521996,33521996,HATS-6 b,3.3252725,32300,13.34,catalog_pl_trandep,survey-wide known-planet recovery rate,98,98,SPOC,120,50.47,15.18
TIC 35009898,35009898,TOI-654.01,1.527561,2570.56,12.23,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,100,100,SPOC,120,22.85,14.96
TIC 35516889,35516889,WASP-19 b,0.78883852,20770,11.6,catalog_pl_trandep,survey-wide known-planet recovery rate,99,99,SPOC,120,25.14,31.86
TIC 36452991,36452991,TOI-2969 b,1.8237146,26077.3,11.94,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,99,99,SPOC,120,25.13,13.78
TIC 36724087,36724087,LTT 3780 b,0.76837931,1032,10.58,catalog_pl_trandep,survey-wide known-planet recovery rate,100,100,SPOC,120,23.05,30.00
TIC 36734222,36734222,WASP-43 b,0.813475,25500,11.12,catalog_pl_trandep,survey-wide known-planet recovery rate,100,100,SPOC,120,22.87,28.12
TIC 37348844,37348844,NGTS-10 b,0.7668944,31563.4,13.61,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,98,98,SPOC,120,50.47,65.81
TIC 37749396,37749396,TOI-260 b,13.475853,667.047,8.499,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,3,3;42;70,SPOC,120,81,6.01
TIC 38846515,38846515,WASP-100 b,2.84938,7600,10.32,catalog_pl_trandep,survey-wide known-planet recovery rate,94,94,SPOC,120,21.66,7.60
TIC 43647325,43647325,WASP-35 b,3.16158,15000,10.44,catalog_pl_trandep,survey-wide known-planet recovery rate,98,98,SPOC,120,48.05,15.20
TIC 46432937,46432937,TIC 46432937 b,1.4404453,53078.5,12.37,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,98,98,SPOC,120,50.78,35.26
TIC 48103627,48103627,TOI-657.01,4.5696698,9861.08,12.44,catalog_toi_pl_trandep,survey-wide known-planet recovery rate,99,99,SPOC,120,25.66,5.62
TIC 49043968,49043968,WASP-193 b,6.2463475,12480,11.63,catalog_pl_trandep,survey-wide known-planet recovery rate,100,100,SPOC,120,22.37,3.58
