target,tic_id,sector,sectors,tmag,ra_deg,dec_deg,camera,ccd,teff_k,stellar_radius_solar,stellar_mass_solar,distance_pc,luminosity_class,stellar_selection_tier,small_planet_merit,selection_rank
TIC 426420569,426420569,100,100,14.24,242.9827,-77.686,4,2,3781.0,0.553704,0.548574,236.955,DWARF,0,2.334555,526
TIC 257576384,257576384,100,100,14.04,292.2278,-78.4532,4,3,3282.0,0.496271,0.494358,146.363,DWARF,0,2.199438,527
TIC 447545660,447545660,100,100,15.65,253.5843,-65.6367,4,4,3419.0,0.331897,0.313283,200.445,DWARF,0,2.172007,528
TIC 942944323,942944323,100,100,11.12,160.0622,-24.3196,1,1,,,,143.041,UNKNOWN,5,999.0,529
TIC 333796807,333796807,100,100,15.4,175.9509,-22.5563,1,2,34000.0,0.143,0.47,5427.96,DWARF,2,1.390672,530
TIC 26306094,26306094,100,100,12.74,153.8875,-11.2507,1,4,,,,41.5911,UNKNOWN,5,999.0,531
TIC 272642306,272642306,100,100,14.52,161.3625,-53.5891,2,1,3313.0,0.50066,0.498708,187.003,DWARF,0,2.303086,532
TIC 275548272,275548272,100,100,14.7,178.9342,-47.0296,2,2,3126.0,0.394871,0.385678,137.614,DWARF,0,2.13291,533
TIC 181222423,181222423,100,100,15.33,174.8071,-38.3351,2,3,3335.0,0.385294,0.374788,199.415,DWARF,0,2.237584,534
TIC 105917008,105917008,100,100,15.62,157.4122,-37.1179,2,4,3521.0,0.456128,0.453078,298.946,DWARF,0,2.442173,535
TIC 405643974,405643974,100,100,14.66,191.8165,-54.4371,3,1,2903.0,0.368577,0.355634,110.128,DWARF,0,2.065056,536
TIC 450796086,450796086,100,100,14.04,187.0456,-63.2398,3,2,3067.0,0.443412,0.439478,110.871,DWARF,0,2.101615,537
TIC 329319981,329319981,100,100,14.58,191.8357,-66.7173,3,3,3157.0,0.398345,0.38961,133.367,DWARF,0,2.116519,538
TIC 448621200,448621200,100,100,14.82,212.0445,-66.8117,3,4,3544.0,0.414686,0.407957,180.765,DWARF,0,2.199439,539
TIC 361639997,361639997,100,100,15.59,243.8513,-66.613,4,1,3613.0,0.424657,0.419013,245.633,DWARF,0,2.374077,540
TIC 446852351,446852351,100,100,14.65,218.6674,-71.213,4,2,3788.0,0.509984,0.58,229.331,DWARF,0,2.345113,541
TIC 293724798,293724798,100,100,14.86,262.8872,-70.24,4,3,3429.0,0.428019,0.422715,,DWARF,0,2.234926,542
TIC 365895335,365895335,100,100,14.34,275.8372,-63.2773,4,4,3557.0,0.451364,0.448011,166.781,DWARF,0,2.177054,543
TIC 49044042,49044042,100,100,11.23,164.3338,-30.1609,1,1,13916.0,,,1809.71,UNKNOWN,5,999.0,544
TIC 52215924,52215924,100,100,15.46,176.2089,-23.4718,1,2,54718.0,0.147,0.5,2322.67,DWARF,2,1.426635,545
TIC 432164209,432164209,100,100,12.91,153.4142,-19.3655,1,4,,,,268.142,UNKNOWN,5,999.0,546
TIC 411006652,411006652,100,100,14.59,160.7209,-53.1781,2,1,3222.0,0.505452,0.503418,,DWARF,0,2.32536,547
TIC 22450573,22450573,100,100,14.3,184.4348,-44.2394,2,2,3402.0,0.434852,0.430194,148.165,DWARF,0,2.136683,548
TIC 152024022,152024022,100,100,14.13,169.2002,-36.2182,2,3,3550.0,0.507921,0.505829,177.232,DWARF,0,2.237592,549
TIC 105653881,105653881,100,100,15.18,156.1776,-36.7976,2,4,3721.0,0.505878,0.503835,305.105,DWARF,0,2.444092,550
TIC 405514195,405514195,100,100,15.19,190.3679,-58.5711,3,1,2832.0,0.328343,0.309178,96.4674,DWARF,0,2.070656,551
TIC 451704369,451704369,100,100,14.41,172.1478,-59.474,3,2,3151.0,0.407888,0.400357,126.589,DWARF,0,2.103082,552
TIC 334999132,334999132,100,100,14.02,194.3008,-71.3264,3,3,3018.0,0.455751,0.452679,102.589,DWARF,0,2.121455,553
TIC 209648162,209648162,100,100,14.15,210.8458,-59.0325,3,4,3291.0,0.491174,0.489265,,DWARF,0,2.212471,554
TIC 360790455,360790455,100,100,15.6,240.9396,-66.851,4,1,3428.0,0.425649,0.420107,256.83,DWARF,0,2.378103,555
TIC 394834541,394834541,100,100,14.01,202.8965,-77.1897,4,2,4030.0,0.594019,0.583182,239.68,DWARF,0,2.349601,556
TIC 301308530,301308530,100,100,14.89,256.0154,-70.9485,4,3,3637.0,0.463314,0.460659,235.58,DWARF,0,2.309751,557
TIC 367383437,367383437,100,100,15.57,259.8731,-59.323,4,4,3264.0,0.345362,0.328847,184.253,DWARF,0,2.190549,558
TIC 71029363,71029363,100,100,11.47,153.0371,-31.4126,1,1,,,,49.1915,UNKNOWN,5,999.0,559
TIC 461156754,461156754,100,100,14.63,165.6344,-25.374,1,2,31000.0,0.18,0.47,2193.98,DWARF,2,1.436545,560
TIC 101226649,101226649,100,100,14.13,155.664,-13.364,1,4,,,,46.891,UNKNOWN,5,999.0,561
TIC 71886202,71886202,100,100,14.04,166.9558,-46.8752,2,1,3385.0,0.574266,0.566567,191.493,DWARF,0,2.326226,562
TIC 72181216,72181216,100,100,14.82,186.4973,-46.7957,2,2,2984.0,0.386012,0.375606,131.464,DWARF,0,2.137202,563
TIC 454104578,454104578,100,100,14.62,176.8733,-36.4841,2,3,3372.0,0.463965,0.461342,177.574,DWARF,0,2.25697,564
TIC 146525556,146525556,100,100,15.19,158.8491,-42.648,2,4,3830.0,0.555296,0.549993,340.332,DWARF,0,2.527049,565
TIC 333772148,333772148,100,100,14.66,182.0051,-52.2201,3,1,2923.0,0.372109,0.359692,111.433,DWARF,0,2.07334,566
TIC 433360193,433360193,100,100,14.1,183.011,-56.6732,3,2,3095.0,0.439006,0.434712,118.777,DWARF,0,2.104941,567
