target,tic_id,sectors,artifact_epoch_btjd,prior_depth_snr,prior_passes,prior_period_days,prior_pipeline_version,prior_transit_time,shared_epochs_seen,source_campaigns
TIC 442792686,442792686,100,4080.8,21.9138,False,1.083551,processed-lc-v2,4074.807335,4080.8,sector100_expansion_5000
TIC 446850121,446850121,100,4074.4,66.9109,True,6.248247,processed-lc-v2,4074.489969,4074.4,sector100_expansion_5000
TIC 447290869,447290869,100,4080.8,18.6723,True,9.27953,processed-lc-v2,4080.852315,4080.8,sector100_expansion_5000
TIC 448186109,448186109,100,4074.4,26.6666,True,6.952197,processed-lc-v2,4078.686747,4074.4,sector100_expansion_5000
TIC 448415687,448415687,100,4080.8,5.5878,False,0.509794,processed-lc-v2,4074.702368,4080.8,sector100_expansion_5000
TIC 448472110,448472110,100,4074.4,110.4633,False,0.601507,processed-lc-v2,4074.354434,4074.4,sector100_expansion_5000
TIC 448493902,448493902,100,4074.4,15.8327,False,1.216509,processed-lc-v2,4074.419031,4074.4,sector100_expansion_5000
TIC 448641600,448641600,100,4074.4,4.4904,False,0.787041,processed-lc-v2,4074.698374,4074.4,sector100_expansion_5000
TIC 448695927,448695927,100,4080.8,5.9295,False,0.741794,processed-lc-v2,4074.318252,4080.8,sector100_expansion_5000
TIC 448888137,448888137,100,4080.8,9.3346,True,6.490526,processed-lc-v2,4080.049218,4080.8,sector100_expansion_5000
TIC 449471651,449471651,100,4074.4,17.4236,True,9.46909,processed-lc-v2,4080.844723,4074.4,sector100_expansion_5000
TIC 449557403,449557403,100,4080.8,7.123,False,0.511464,processed-lc-v2,4074.235298,4080.8,sector100_expansion_5000
TIC 449557444,449557444,100,4080.8,17.4097,True,6.806364,processed-lc-v2,4079.581131,4080.8,sector100_expansion_5000
TIC 450698581,450698581,100,4080.8,49.4611,False,1.851614,processed-lc-v2,4075.45244,4080.8,sector100_expansion_5000
TIC 450793267,450793267,100,4080.8,20.9806,False,2.453957,processed-lc-v2,4074.946175,4080.8,sector100_expansion_5000
TIC 450915843,450915843,100,4080.8,42.3716,True,1.740499,processed-lc-v2,4075.129588,4080.8,sector100_expansion_5000
TIC 450918676,450918676,100,4080.8,11.0678,False,0.771919,processed-lc-v2,4074.620195,4080.8,sector100_expansion_5000
TIC 450931870,450931870,100,4080.8,6.2269,False,1.65944,processed-lc-v2,4074.870361,4080.8,sector100_expansion_5000
TIC 450988149,450988149,100,4074.4,34.7244,True,1.909863,processed-lc-v2,4075.543958,4074.4,sector100_expansion_5000
TIC 451348735,451348735,100,4080.8,5.8952,False,3.339834,processed-lc-v2,4076.517164,4080.8,sector100_expansion_5000
TIC 451670151,451670151,100,4080.8,7.2533,True,6.920057,processed-lc-v2,4078.599232,4080.8,sector100_expansion_5000
TIC 451670179,451670179,100,4080.8,24.3961,True,6.089206,processed-lc-v2,4075.017981,4080.8,sector100_expansion_5000
TIC 451994763,451994763,100,4074.4,85.9077,False,0.94774,processed-lc-v2,4074.338656,4074.4,sector100_expansion_5000
TIC 452166927,452166927,100,4080.8,26.4442,False,2.20439,processed-lc-v2,4075.492417,4080.8,sector100_expansion_5000
TIC 454016251,454016251,100,4080.8,12.5868,False,0.743652,processed-lc-v2,4074.224215,4080.8,sector100_expansion_5000
TIC 456983505,456983505,100,4074.4,947.8237,False,0.517348,processed-lc-v2,4074.377082,4074.4,sector100_expansion_5000
TIC 460549091,460549091,100,4080.8,41.6501,False,1.146075,processed-lc-v2,4074.12012,4080.8,sector100_expansion_5000
TIC 460716540,460716540,100,4080.8,112.4601,False,1.527921,processed-lc-v2,4075.208676,4080.8,sector100_expansion_5000
TIC 460786061,460786061,100,4080.8,22.4349,False,6.357128,processed-lc-v2,4080.186601,4080.8,sector100_expansion_5000
