target,tic_id,ra,dec,tmag,teff_k,radius_solar,distance_pc,contamination_ratio,gaia_source_id
TIC 233746342,233746342,278.64342172315,62.59545827224,13.225,3516.0,0.44,95.4125,0.0108,2160072476319085184
TIC 399787571,399787571,278.03675639612,59.62747093355,13.225,3334.0,0.404,80.2108,0.0148,2157841807745557376
TIC 459979376,459979376,255.76284765683,63.6045785082,13.225,3248.0,0.304,53.4317,0.0034,1631246274286246912
TIC 264301493,264301493,295.93739303659,66.72378620005,13.226,3330.0,0.363,68.7694,0.0352,2248666931399767936
TIC 229458022,229458022,294.79584788058,62.67514133673,13.228,3534.0,0.404,90.0802,0.0058,2241053702438571392
TIC 198387251,198387251,257.84404810318,59.59764994009,13.229,3407.0,0.463,96.5724,0.0061,1437245869997376128
TIC 233194992,233194992,264.33998185684,66.91346479751,13.229,3674.0,0.48,116.402,0.0099,1634315496572685568
TIC 219798398,219798398,265.4257745672,59.91165328316,13.23,3444.0,0.559,132.59,0.0025,1434887039598163200
TIC 280069332,280069332,298.12997978971,67.57356639464,13.23,3505.0,0.507,114.993,0.0044,2249149303469718144
TIC 320323745,320323745,246.69002952326,73.53810485521,13.231,3362.0,0.221,42.0927,0.013,1654813176452152320
TIC 353895145,353895145,271.76494272181,56.80149867543,13.231,3524.0,0.41,91.2101,0.0073,2151878228474189824
TIC 280165296,280165296,298.59664188583,71.38259992529,13.232,3758.0,0.52,132.722,0.0441,2251649734645874048
TIC 198412432,198412432,259.33018808605,59.21661662391,13.234,3616.0,0.533,130.581,0.0202,1434274989579047040
TIC 233728673,233728673,277.15379249189,62.4121876852,13.234,3381.0,0.462,95.6888,0.004,2159934075292916480
TIC 275691483,275691483,287.11478645378,60.18984491918,13.234,3692.0,0.526,128.234,0.0189,2155704357140563584
TIC 198211853,198211853,248.30842298434,64.1903269512,13.235,3746.0,0.516,130.9,1.0E-4,1629094122010209280
TIC 229707739,229707739,278.1374330826,67.90863717233,13.235,3266.0,0.276,48.0472,0.0088,2258892114657721344
TIC 233198578,233198578,265.0541212456,66.89262119461,13.235,3229.0,0.25,42.6853,0.4062,1634271241229731072
TIC 441809825,441809825,266.7093140426,75.65937710741,13.236,3686.0,0.536,132.013,0.0129,1656071430071331712
TIC 229413248,229413248,293.07601855801,63.62539182595,13.237,3906.0,0.579,161.228,0.0086,2241907614948205824
TIC 233056271,233056271,269.37186283278,60.31305911464,13.237,3655.0,0.477,113.241,0.2716,1435139686755264512
TIC 233624156,233624156,284.30103691815,65.49960359732,13.237,3817.0,0.55,146.086,0.0061,2255253487085417856
TIC 258772382,258772382,286.1961515708,68.89058463481,13.238,3694.0,0.491,119.68,0.0085,2262033591178088192
TIC 383674624,383674624,279.03863570167,60.46848363558,13.238,3784.0,0.559,146.598,0.0267,2156473774762653952
TIC 230070331,230070331,243.15084957849,67.1801890722,13.239,3708.0,0.562,144.424,0.0201,1643294864438152576
TIC 359552510,359552510,279.44156927113,57.47965114165,13.239,3741.0,0.54,139.013,0.0112,2154188027526590592
TIC 198242647,198242647,249.62114914716,60.80710887569,13.24,3526.0,0.472,105.746,0.0045,1624556093924545024
TIC 230091561,230091561,247.81893808976,70.10373719695,13.24,3244.0,0.508,103.601,0.0111,1649946463110121984
TIC 424731007,424731007,255.34255147171,63.0590972414,13.241,3522.0,0.458,102.765,0.003,1631169995667242112
TIC 229590398,229590398,272.19331733604,74.7321315755,13.242,3480.0,0.464,101.181,0.001,2267482667725094912
TIC 230080569,230080569,245.63752753121,69.27843196902,13.242,3943.0,0.525,144.303,2.0E-4,1649757450188860800
TIC 376925996,376925996,284.52421490412,76.97569409034,13.242,3925.0,0.543,150.559,0.6794,2292759409255328256
TIC 233547261,233547261,281.73833263445,60.89595859604,13.243,3376.0,0.39,77.8944,0.008,2156366572378845952
TIC 237103326,237103326,241.10189112348,69.94353759902,13.244,3401.0,0.328,64.09,0.0063,1647076909559910784
TIC 259003792,259003792,289.88062982317,68.65821054252,13.245,3655.0,0.578,151.929,0.0078,2261311761793725952
TIC 353935515,353935515,272.22398552964,57.20509929904,13.245,3879.0,0.588,164.748,0.0186,2151731924709082624
TIC 376975102,376975102,284.05031500311,57.45402577452,13.245,3454.0,0.412,87.5337,0.6523,2153615869163934080
TIC 462620300,462620300,259.95725934947,57.37224790168,13.245,3787.0,0.54,140.712,0.0012,1432941316334098816
TIC 232611886,232611886,259.02787819917,61.52224417944,13.248,3329.0,0.344,64.5901,0.7852,1438491307433775232
TIC 441799761,441799761,264.67787564959,75.75513874636,13.248,3337.0,0.236,42.7937,0.0077,1656037894966903296
TIC 199666364,199666364,252.03042234873,59.06386603906,13.249,3841.0,0.555,142.026,,1431830534712186624
TIC 219850511,219850511,256.31614300111,71.17549737674,13.249,3599.0,0.51,122.616,0.0088,1651713442718945664
TIC 233158153,233158153,274.93444725191,64.16572138806,13.249,3484.0,0.47,103.136,0.0133,2161212223200451072
TIC 424438094,424438094,279.45721016643,64.81131467747,13.249,3424.0,0.42,89.6191,0.0589,2256477552764001664
TIC 199685885,199685885,252.76861340597,59.9581900719,13.25,3844.0,0.542,143.902,2.0E-4,1438063013294926464
TIC 353818721,353818721,270.45513004631,56.15171662373,13.251,3578.0,0.362,78.9869,0.0033,2150311252606552960
TIC 230123559,230123559,250.50880465193,68.06294698435,13.252,3348.0,0.419,86.0993,0.0037,1648568294003847936
TIC 232984380,232984380,241.81965179859,67.43197275176,13.252,3752.0,0.582,153.44,0.0396,1643354650382958592
TIC 198416983,198416983,260.23500397284,56.62060799448,13.253,3809.0,0.508,129.508,0.0458,1420835074836909696
TIC 233077981,233077981,271.61898310154,60.69913785722,13.254,3574.0,0.507,126.156,0.0116,2158790754999271936
TIC 233193008,233193008,264.16370427354,71.60606864116,13.255,3661.0,0.55,139.938,0.19,1651214681053586688
TIC 367853714,367853714,276.3765743827,75.4931056989,13.256,3744.0,0.55,141.113,0.1135,2268936668773263616
TIC 377307022,377307022,286.95058933949,58.60879086725,13.256,3474.0,0.48,104.943,0.0372,2155148897610508288
TIC 392537357,392537357,280.48576700796,57.11999561062,13.257,3463.0,0.392,85.219,0.0241,2153979807512817280
TIC 353872908,353872908,271.32200953985,56.93491400632,13.258,3291.0,0.287,51.9704,0.0035,2151895305264150400
TIC 356111990,356111990,262.67508475845,59.3729443086,13.259,3925.0,0.58,164.877,0.0011,1434808871193533696
TIC 356788334,356788334,268.97684267242,73.25515510029,13.259,3563.0,0.515,125.197,0.0014,1651614868926499200
TIC 441764571,441764571,261.19862345923,75.27591818806,13.259,3750.0,0.542,140.705,0.0102,1656009788700764288
TIC 219799069,219799069,265.74079738743,61.58127323304,13.26,3546.0,0.489,112.761,0.0023,1436387941689490304
TIC 377165060,377165060,285.8006889678,57.30494384239,13.26,3397.0,0.415,86.0615,0.0367,2153477811735240960
TIC 199610766,199610766,249.11174682013,59.50974310037,13.261,3485.0,0.352,76.1107,0.1122,1624140753407138304
TIC 230079112,230079112,245.16438002729,67.75892445131,13.261,3296.0,0.352,66.2488,0.0052,1643430551044951296
TIC 359631360,359631360,280.22545658099,57.69467811285,13.261,3831.0,0.578,159.683,0.0018,2154278393638418048
TIC 424389327,424389327,281.24124023113,73.97265312516,13.261,3609.0,0.524,128.872,0.0061,2267907732048733952
